fips,hrs_82,latitude,longitude,longitudes,latlong,latlong_placement,name,street,city,state,zip
"25003911100",19.389999,42.505501,73.274803,-73.274803,1,1,"ROSE SITE (LANESBORO)","BALANCE ROCK RD","Lanesboro","MA","1237"
"25005611200",28.059999,41.943333,71.235001,-71.235001,1,1,"SHPACK DUMP","UNION RD","Norton/Attleboro","MA","2703"
"25005651300",50.73,41.643169,70.919884,-70.919884,1,1,"NEW BEDFORD SITE","ACUSHNET ESTUARY","New Bedford","MA","02740"
"25005653102",47.709999,41.688061,71.03389,-71.03389,1,1,"RE-SOLVE, INC.","N HIXVILLE RD","Dartmouth","MA","02747"
"25009261101",16.23,42.753887,71.046669,-71.046669,1,1,"HAVERHILL LANDFILL","OLD GROVELAND RD","Haverhill","MA","1830"
"25009264100",40.060001,42.75333,71.038887,-71.038887,1,1,"GROVELAND WELLS","JOHNSON CREEK WATERSHED","Groveland","MA","01834"
"25013810100",38.66,42.153332,72.330284,-72.330284,1,1,"PSC RESOURCES","10 WATER ST","Palmer","MA","01069"
"25017312200",42.720001,42.628887,71.313889,-71.313889,1,1,"SILRESIM CHEMICAL CORP.","86 TANNER ST","Lowell","MA","01853"
"25017313101",47.200001,42.669449,71.443336,-71.443336,1,1,"CHARLES-GEORGE RECLAMATION TRUST LANDFILL","CORNER DUNSTABLE & CUMMINGS RD","Tyngsborough","MA","01879"
"25017333501",59.200001,42.49472,71.130836,-71.130836,1,1,"WELLS G&H","ABERJONA RIVER VALLEY","Woburn","MA","01801"
"25017333600",72.419998,42.51667,71.14167,-71.14167,1,1,"INDUSTRI-PLEX","COMMERCE & ATLANTIC","Woburn","MA","01801"
"25017363101",59.299999,42.45055,71.42778,-71.42778,1,1,"W.R. GRACE & CO INC (ACTON PLANT)","50 INDEPENDENCE RD","Acton","MA","01720"
"25017383100",15.48,42.27037,71.407463,-71.407463,1,1,"COMMONWEALTH GAS CO.","350 IRVING ST.","Framingham","MA","1701"
"25017385100",69.220001,42.25861,71.47361,-71.47361,1,1,"NYANZA CHEMICAL WASTE DUMP","MEGUNKO RD","Ashland","MA","01721"
"25021421100",66.349998,42.149719,71.02861,-71.02861,1,1,"BAIRD & MCGUIRE","775 SOUTH ST","Holbrook","MA","02343"
"25023525101",38.189999,41.972698,71.025597,-71.025597,1,1,"CANNON ENGINEERING CORP. (CEC)","FIRST ST","Bridgewater","MA","02324"
"25023530200",54.82,41.979599,70.685402,-70.685402,1,1,"PLYMOUTH HARBOR/CANNON ENGINEERING CORP.","CORDAGE PARK","Plymouth","MA","02360"
"25023542200",18.139999,41.93528,70.908607,-70.908607,1,0,"J & G AUTO","PLAIN ST","Middleboro","MA","2346"
"25027742400",44.799999,42.272781,71.650833,-71.650833,1,1,"HOCOMONCO POND","FISHER ST","Westborough","MA","01581"
"26005030500",23.059999,42.652439,85.642776,-85.642776,1,0,"SUNRISE LANDFILL","132ND ST","Allegan County","MI","49080"
"26005031800",18.33,42.465809,85.773338,-85.773338,1,1,"A-1 DISPOSAL LANDFILL","JEFFERSON STREET","Otsego Township","MI","49080"
"26021020200",29.77,41.820599,86.3545,-86.3545,1,1,"ELECTROVOICE","600 CECIL STREET","Buchanan","MI","49107"
"26027000300",26.469999,41.992081,86.060387,-86.060387,1,1,"DOWAGIAC LANDFILL","SEC 33 NUBOUR RD","Wayne Township","MI","49047"
"26027001500",33.66,41.830898,86.1968,-86.1968,1,1,"U.S. AVIEX","1056 HUNTLEY RD","Howard Township","MI","49120"
"26049012802",66.739998,42.903999,83.834801,-83.834801,1,1,"BERLIN & FARRO","8322 S MOORISH RD","Swartz Creek","MI","48473"
"26065000200",22.690001,42.749031,84.543327,-84.543327,1,1,"BARRELS, INC","1404 NORTH LARCH STREET","Lansing","MI","48906"
"26067031700",38.02,42.976669,85.046112,-85.046112,1,1,"IONIA CITY LANDFILL","CLEVELAND STREET","Ionia","MI","48846"
"26077000100",32.07,42.293888,85.567223,-85.567223,1,1,"AUTO ION CHEMICALS, INC.","74 MILL STREET","Kalamazoo","MI","49006"
"26077002904",38.099998,42.283333,85.718887,-85.718887,1,1,"K&L AVENUE LANDFILL","8606 WEST K L AVE","Oshtemo Township","MI","49009"
"26081002700",50.299999,42.952217,85.700279,-85.700279,1,1,"BUTTERWORTH #2 LANDFILL","1500 BUTTERWORTH","Grand Rapids","MI","49504"
"26081010402",32,43.1525,85.681953,-85.681953,1,1,"SPARTA LANDFILL","10322 ALPINE AVENUE","Sparta Township","MI","49504"
"26081012604",35.43,42.873798,85.590599,-85.590599,1,1,"KENTWOOD LANDFILL","4900 WALMA AVENUE","Kentwood","MI","49508"
"26081013000",32.93,42.917801,85.747498,-85.747498,1,1,"ORGANIC CHEMICALS, INC.","3291 CHICAGO DRIVE SOUTHWEST","Grandville","MI","49418"
"26081013400",41.049999,42.915833,85.727783,-85.727783,1,1,"SPARTAN CHEMICAL CO.","2539 28TH STREET SW","Wyoming","MI","49509"
"26081013600",38.200001,42.91,85.674164,-85.674164,1,1,"CHEM CENTRAL","2940 STAFFORD AVE SW","Wyoming Township","MI","49508"
"26081014200",27.700001,42.89386,85.649437,-85.649437,1,1,"APPROVED IND REMOVAL","3755 LINDEN & 750 HIMES","Wyoming","MI","49508"
"26093724000",31.01,42.62278,83.963608,-83.963608,1,1,"SHIAWASSEE RIVER","M59 TO STATE ROAD LIVINGSTON COU","Howell","MI","48843"
"26093742400",6.0700002,42.586651,83.8741,-83.8741,1,1,"G&G PAINT DEVELOPERS","4020 E GRAND RIVER RD","Howell","MI","48843"
"26093744600",31.799999,42.454399,83.769302,-83.769302,1,1,"RASMUSSEN'S DUMP","9040 SPICER RD","Brighton","MI","48116"
"26099225600",63.279999,42.652782,83.073608,-83.073608,1,1,"LIQUID DISPOSAL, INC.","3901 HAMLIN ROAD","Utica","MI","48087"
"26099225800",49.09,42.664719,83.077766,-83.077766,1,1,"G&H LANDFILL","3160 23 MILE RD","Utica","MI","48087"
"26115830600",21.84,42.071701,83.601547,-83.601547,1,1,"DARLING ROAD DUMP","13920 DARLING RD","Milan","MI","48160"
"26115831800",15.18,41.89259,83.358597,-83.358597,1,1,"PORT OF MONROE LANDFILL","PLUM CREEK BTWN I-75 & FRONT","Monroe","MI","48161"
"26115833100",38.16,41.785599,83.644302,-83.644302,1,1,"NOVACO INDUSTRIES","9411 SUMMERFIELD ROAD","Temperance","MI","48182"
"26115833800",6.4000001,41.764439,83.606667,-83.606667,1,1,"STEVEN'S LANDFILL","DEAN RD 1/4M E OF DOUGLAS RD","Temperance","MI","48192"
"26121002900",36.360001,43.201111,86.142502,-86.142502,1,1,"SCA INDEPENDENT LANDFILL","BROADWAY & BROOKS","Muskegon Heights","MI","49444"
"26121003400",53.41,43.303329,86.256668,-86.256668,1,1,"OTT/STORY/CORDOVA CHEMICAL CO.","500 AGARD RD","Dalton Township","MI","49445"
"26121003600",1.62,43.3535,86.237,-86.237,1,1,"DALTON TOWNSHIP DUMP","RUSSELL & MICHILLINDA S.E.","Dalton","MI","49445"
"26125125600",50.919998,42.720833,83.631943,-83.631943,1,1,"ROSE TOWNSHIP DUMP","1065 DEMODE RD","Rose Township","MI","48654"
"26125126500",51.970001,42.704399,83.541901,-83.541901,1,1,"SPRINGFIELD TOWNSHIP DUMP","12955 SHINDLER RD","Davisburg","MI","49405"
"26125132100",17.58,42.60778,83.56472,-83.56472,1,0,"MINIER'S/RCGW LANDFILL","","Milford","MI",""
"26125138600",23.459999,42.464439,83.561111,-83.561111,1,1,"LYONS TOWNSHIP DUMP","25520 JOHNS ROAD","Lyons Township","MI","48851"
"26139022101",39.66,42.820419,86.185219,-86.185219,1,1,"SOUTHWEST OTTAWA COUNTY LANDFILL","2901 N 160TH AVE","Park Township","MI","49423"
"26159011400",16.74,42.223301,86.1502,-86.1502,1,1,"BURROWS SANITATION","ME1/4 SEC10 R16W T3S","Hartford Township","MI","49057"
"26163506400",3.4000001,42.422482,83.04303,-83.04303,1,1,"PELOQUIN ENTERPRISES","5944 DAVISON","Detroit","MI","48212"
"26163513500",2.3699999,42.365089,82.965912,-82.965912,1,1,"KOI PETROLEUM","421 LYCASTE","Detroit","MI","48214"
"26163564900",7.4000001,42.268219,83.468613,-83.468613,1,0,"TRILEX","44052 YOST RD","Wayne","MI","48184"
"26163580100",4.9000001,42.217571,83.150284,-83.150284,1,1,"BASF-WYANDOTTE CORP","1609 BIDDLE AVE","Wyandotte","MI","48192"
"26163585800",9.6899996,42.23769,83.40667,-83.40667,1,1,"WICKS ELEMENTARY","NE OF WICKS SCHOOL 36900 WICK","Romulus","MI","48174"
"26163586300",3.9000001,42.206032,83.404488,-83.404488,1,1,"CHEM-CENTRAL (ROMULUS)","13395 HURON RIVER DRIVE","Romulus","MI","48174"
"26163595000",6.6999998,42.180389,83.163719,-83.163719,1,1,"FEDERAL MAINE TERM","18099 W JEFFERSON","Riverview","MI","48192"
"27003050208",35.41,45.217899,93.318001,-93.318001,1,1,"SOUTH ANDOVER SITE","2052 1/2 BUNKER LAKE RD","Andover","MN","55303"
"27003050220",50.919998,45.228001,93.312202,-93.312202,1,1,"WASTE DISPOSAL ENGINEERING","14435 NW CROSSTOWN BLVD","Andover","MN","55303"
"27053122500",50.950001,44.936111,93.363609,-93.363609,1,1,"NL INDUSTRIES/TARACORP/GOLDEN AUTO","3645 HAMPSHIRE AVENUE","St. Louis Park","MN","55426"
"27123030200",55.049999,44.972218,93.152779,-93.152779,1,1,"KOPPERS COKE","1000 N HAMLINE AVENUE","St. Paul","MN","55104"
"27123041105",59.16,45.07917,93.197502,-93.197502,1,1,"NEW BRIGHTON/ARDEN HILLS/TCAAP (USARMY)","JCT HWY 10 & MN HWY 96S","New Brighton","MN","55112"
"27163070906",55.709999,45,92.966667,-92.966667,1,1,"OAKDALE DUMP","N HADLEY AVE & N GRANADA AVE","Oakdale","MN","55128"
"28059041100",15.51,30.376659,88.613609,-88.613609,1,1,"PLASTIFAX","INDUSTRIAL SEAWAY BLVD","Gulfport","MS","39501"
"28151000100",26.32,33.428051,90.869453,-90.869453,1,,"OLIN CORP.","HWY 61 N","Leland","MS","38756"
"29003010300",25.030001,39.875,94.870003,-94.870003,1,0,"WHEELING WASTE DISPOSAL","OFF HWY K 1 1/2 MI S OF","Amazonia","MO","64421"
"29021002800",23.74,39.646832,94.778343,-94.778343,1,0,"CITY LANDFILL (PIGEON HILL)","PIGEON HILL","Saint Josephs","MO","64501"
